,verduleria_fruteria
0,1050313.638
1,1026166.544
2,1075525.842
3,1037213.162
4,982651.1606
5,952203.315
6,994343.5775
7,1060479.162
8,1078616.457
9,1147860.292
10,1206025.378
11,1398334.689
12,1318384.494
13,1248469.287
14,1329929.284
15,1205249.499
16,1155946.756
17,1186724.082
18,1296379.378
19,1359742.103
20,1330111.034
21,1478760.397
22,1590214.276
23,1782265.959
24,1622205.374
25,1607641.399
26,1733045.157
27,1598053.884
28,1526614.253
29,1591347.412
30,1696455.097
31,1903751.836
32,1949185.858
33,2143017.178
34,2347744.246
35,2838731.673
36,2685147.644
37,2778662.821
38,3248772.943
39,2981509.854
40,2771794.518
41,2610763.01
42,2712593.828
43,2842695.03
44,2932524.24
45,3508831.994
46,4262746.6
47,4262746.6
48,4076717.804
49,3978725.7
50,4214424.175
51,4041721.715
52,3924175.62
53,3748454.174
54,3985101.607
55,4074608.926
56,4184266.093
57,4785226.402
58,4869397.981
59,5863700.608
60,6138441.197
61,6436027.691
62,6886240.029
63,6510665.781
64,6314109.47
